Period End,Staff,Students,Other,Total
2020-10-07,13,821,0,834
2020-10-08,17,812,0,829
2020-10-09,18,776,0,794
2020-10-10,22,695,0,717
2020-10-11,24,583,1,608
2020-10-12,23,490,2,515
2020-10-13,24,427,2,453
2020-10-14,24,401,2,427
2020-10-15,26,347,2,375
2020-10-16,25,305,2,332
2020-10-17,24,260,3,287
2020-10-18,21,225,3,249
2020-10-19,23,210,4,237
2020-10-20,23,190,4,217
2020-10-21,24,175,3,202
2020-10-22,25,158,2,185
2020-10-23,28,144,2,174
2020-10-24,28,131,2,161
2020-10-25,28,114,2,144
2020-10-26,30,106,2,138
2020-10-27,31,101,1,133
2020-10-28,31,101,1,133
2020-10-29,32,86,0,118
2020-10-30,30,82,0,112
2020-10-31,27,71,0,98
2020-11-01,28,72,0,100
2020-11-02,26,65,0,91
2020-11-03,24,62,0,86
2020-11-04,24,67,0,91
2020-11-05,23,69,0,92
2020-11-06,23,69,0,92
2020-11-07,23,75,0,98
2020-11-08,20,81,0,101
2020-11-09,20,79,1,100
2020-11-10,19,89,1,109
2020-11-11,21,95,2,118
2020-11-12,17,100,2,119
2020-11-13,18,100,2,120
2020-11-14,16,101,2,119
2020-11-15,13,98,2,113
2020-11-16,12,91,2,105
2020-11-17,15,82,2,99
2020-11-18,14,73,2,89
2020-11-19,15,67,1,83
2020-11-20,14,56,1,71
2020-11-21,10,43,0,53
2020-11-22,11,35,0,46
2020-11-23,12,30,0,42
2020-11-24,11,20,0,31
2020-11-25,14,18,0,32
2020-11-26,14,17,0,31
2020-11-27,11,14,0,25
2020-11-28,11,12,0,23
2020-11-29,8,9,0,17
2020-11-30,8,6,0,14
2020-12-01,9,7,0,16
2020-12-02,8,7,0,15
2020-12-03,7,5,0,12
2020-12-04,7,8,1,16
2020-12-05,4,9,1,14
2020-12-06,4,8,1,13
2020-12-07,4,9,1,14
2020-12-08,4,10,1,15
2020-12-09,4,10,1,15
2020-12-10,4,10,1,15
2020-12-11,3,11,1,15
2020-12-12,3,10,1,14
2020-12-13,2,10,1,13
